# Experiment: figure_02_eve_position_map
# Rows are ordered by y first and x second; mesh cols = 41.
# Coordinates and distances are normalized by wavelength.
# One diffuse channel realization is fixed over the full map.
# Position dependence enters through LOS direction and path loss.
grid_row grid_col eve_x_lambda eve_y_lambda eve_z_lambda eve_distance_lambda eve_azimuth_deg eve_elevation_deg vulnerability_qpsk min_entropy_leakage_qpsk vulnerability_16qam min_entropy_leakage_16qam
4 15 -5 9 0 10.29563014 119.0546041 0 0.9427611394 1.914964197 0.7015257266 3.488567917
4 16 -4 9 0 9.848857802 113.962489 0 0.9974672259 1.996341344 0.7658027694 3.615044783
4 17 -3 9 0 9.486832981 108.4349488 0 0.9999748082 1.999963655 0.8203939026 3.714388675
4 18 -2 9 0 9.219544457 102.5288077 0 0.9999995215 1.99999931 0.9031122979 3.852977296
4 19 -1 9 0 9.055385138 96.34019175 0 0.998699659 1.998122784 0.8304174368 3.731908642
4 20 0 9 0 9 90 0 0.8508079049 1.766905343 0.6707025577 3.423745009
4 21 1 9 0 9.055385138 83.65980825 0 0.7231223225 1.532311618 0.5398694353 3.110682446
4 22 2 9 0 9.219544457 77.47119229 0 0.6391235551 1.354166765 0.4562098541 2.867769514
4 23 3 9 0 9.486832981 71.56505118 0 0.6163156349 1.301741295 0.4365038062 2.804066139
4 24 4 9 0 9.848857802 66.03751103 0 0.5861017318 1.229223005 0.3972862713 2.668250845
4 25 5 9 0 10.29563014 60.9453959 0 0.6138151175 1.295876083 0.3967265466 2.666216842
4 26 6 9 0 10.81665383 56.30993247 0 0.6200423142 1.310438579 0.3798301094 2.603426179
4 27 7 9 0 11.40175425 52.12501635 0 0.5871182073 1.231722902 0.3584973513 2.520034365
4 28 8 9 0 12.04159458 48.36646066 0 0.5633128144 1.172008196 0.3602616597 2.527117028
4 29 9 9 0 12.72792206 45 0 0.5643101065 1.174560093 0.3577591687 2.517060646
4 30 10 9 0 13.45362405 41.9872125 0 0.5424217212 1.117486857 0.3256309439 2.381309707
4 31 11 9 0 14.2126704 39.28940686 0 0.5310195188 1.086836797 0.313559211 2.326809805
4 32 12 9 0 15 36.86989765 0 0.535446664 1.09881478 0.3151617534 2.334164372
4 33 13 9 0 15.8113883 34.69515353 0 0.5420961167 1.116620577 0.3156927867 2.336593202
4 34 14 9 0 16.64331698 32.73522627 0 0.541076775 1.113905222 0.3115977019 2.317756498
4 35 15 9 0 17.49285568 30.96375653 0 0.532244151 1.090160096 0.3046030193 2.285002147
4 36 16 9 0 18.35755975 29.35775354 0 0.5173860203 1.049312978 0.2947521846 2.237574411
4 37 17 9 0 19.23538406 27.89727103 0 0.4997201182 0.9991922058 0.2829655677 2.178698416
4 38 18 9 0 20.1246118 26.56505118 0 0.4805801475 0.942848958 0.270385666 2.113090577
4 39 19 9 0 21.02379604 25.34617594 0 0.4625231869 0.8875975967 0.2579882907 2.045377493
4 40 20 9 0 21.9317122 24.22774532 0 0.445882356 0.8347350169 0.246143429 1.977571131
5 0 -20 10 0 22.36067977 153.4349488 0 0.5308203026 1.086295456 0.2810250892 2.168770841
5 1 -19 10 0 21.47091055 152.2414594 0 0.5430797392 1.119235946 0.2916702615 2.222410203
5 2 -18 10 0 20.59126028 150.9453959 0 0.5565785438 1.154657199 0.3036058524 2.280271506
5 3 -17 10 0 19.72308292 149.5344551 0 0.5723098458 1.194868332 0.3167006434 2.341191703
5 4 -16 10 0 18.86796226 147.9946168 0 0.5899969613 1.238779429 0.3319286849 2.408945216
5 5 -15 10 0 18.02775638 146.3099325 0 0.6121972658 1.292068507 0.3489153576 2.480949004
5 6 -14 10 0 17.20465053 144.4623222 0 0.6402625043 1.356735429 0.3686887056 2.560475127
5 7 -13 10 0 16.40121947 142.431408 0 0.6740565171 1.430941466 0.3905200781 2.64346863
5 8 -12 10 0 15.62049935 140.1944289 0 0.7131411051 1.512259468 0.4159792743 2.734583555
5 9 -11 10 0 14.86606875 137.726311 0 0.7527041814 1.590154891 0.4454790004 2.833429331
5 10 -10 10 0 14.14213562 135 0 0.7814369177 1.64420132 0.4791465767 2.938538966
5 11 -9 10 0 13.45362405 131.9872125 0 0.7958280922 1.670528731 0.5113030114 3.032250428
5 12 -8 10 0 12.80624847 128.6598083 0 0.8009151772 1.679721364 0.5363541557 3.101257835
5 13 -7 10 0 12.20655562 124.9920202 0 0.8033866631 1.684166417 0.5785846195 3.210599878
5 14 -6 10 0 11.66190379 120.9637565 0 0.8756553694 1.808435087 0.6401610035 3.356506701
